Vannlokalitet_kode	Vannlokalitet	Betegnelse	Type	Aktivitet_id	Aktivitet_navn	Oppdragsgiver	Oppdragstaker	Parameter_id	Parameter_navn	Parameter_Casnr	Medium_id	Medium_navn	LatinskNavn_id	VitenskapligNavn	Provetakmetode_id	Analysemetode_id	Tid_provetak	Tid_provetak2	Ovre_dyp	Nedre_dyp	DybdeEnhet	Filtrert_Prove	UnntasKlassifisering	Operator	Verdi	Listenavn	Enhet	Provenr	Deteksjonsgrense	Kvantifiseringsgrense	Opprinnelse	Ant_verdier	Kommentar	Arkiv	UTM33 Ost (X)	UTM33 Nord (Y)
079-28413	Dalelva i H?yanger. utl?p		Elv	KALL	Lokal overv?king av kalka vassdrag	Fylkesmannen i Sogn og Fjordane	UKJENT	ALK	Total alkalitet		VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-4A	UKJENT	26.10.1993 00:00				m	Ufiltrert		=	0.01		mmol/l					1	Fra Vanninfo. v/ H?land	N	21564.9501	6819751.69
079-39566	Dalelva ved Fundo - botndyr		Elv	ANNE	Annet	FMSF	HISF	ALK	Total alkalitet		VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6A	UKJENT	22.06.2007 00:00				m	Ufiltrert		=	0.01		mmol/l					1	H?gskulen i Sogn og Fjordane - kartlegging av botnfauna i elver	N	22498.4192	6820440.148
079-58882	Daleelva ved Dale		Elv	KALK	Tiltaksoverv?king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	ALK	Total alkalitet		VF	Ferskvann	0	Artsuavhengig	UKJENT	UKJENT	05.02.2022 00:00		0	0	m	Ufiltrert		<	0.01		mmol/l	439-2021-12070088				1	Metode: Intern Metode basert p? NS 4754-1	N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	KALK	Tiltaksoverv?king i kalkede laksevassdrag	Milj?direktoratet	Eurofins Environment Testing Norway AS (Moss)	ALK	Total alkalitet		VF	Ferskvann	0	Artsuavhengig	UKJENT	UKJENT	05.02.2022 00:00		0	0	m	Ufiltrert		<	0.01		mmol/l	439-2021-12070084				1	Metode: Intern Metode basert p? NS 4754-1	N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	07.07.2022 00:00		0	0	m	Ufiltrert		<	0.01		組/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	09.11.2022 00:00		0	0	m	Ufiltrert		<	0.01		組/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	12.10.2020 00:00		0	0	m	Ufiltrert		<	0.01		組/l					1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	12.10.2020 00:00		0	0	m	Ufiltrert		<	0.01		組/l					1		N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	HG	Kvikks?lv	7439-97-6	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17852	12.02.2015 00:00		0	0	m	Ufiltrert		<	0.01		組/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	HG	Kvikks?lv	7439-97-6	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17852	08.05.2015 00:00		0	0	m	Ufiltrert		<	0.01		組/l					1		N	23022.8	6820695.9
